Chapter 25: The General Law of Capitalist Accumulation 1.	DREIUNDZWANZIGSTES KAPITEL. TEIL I.	ch25_clean.en-ch25_clean.de
The collier is bound to take as part of his hiring a house surrounded with pestiferous influences; he cannot help himself, and it appears doubtful whether anyone else can help him except his proprietor (he is, to all intents and purposes, a serf), and his proprietor first consults his balance-sheet, and the result is tolerably certain.	Er kann sich nicht selbst helfen. Er ist in jeder Rücksicht ein Leibeigner (he is to all intents and purposes a serf). Es scheint fraglich, oh jemand sonst ihm helfen kann außer seinem Eigentümer, und dieser Eigentümer zieht vor allem sein Bilanzkonto zu Rat, und das Resultat ist ziemlich unfehlbar. Der Arbeiter erhält von dem Eigentümer auch seine Zufuhr an Wasser.	ch25_clean.en-ch25_clean.de
The collier is also often supplied with water by the proprietor, which, whether it be good or bad, he has to pay for, or rather he suffers a deduction for from his wages.’	Es sei gut oder schlecht, es werde geliefert oder zurückgehalten. er muß dafür zahlen oder sich vielmehr einen Lohnabzug gefallen lassen."	ch25_clean.en-ch25_clean.de
In a conflict with ‘public opinion’, or even with the Officers of Health, capital has no difficulty in ‘justifying’ the partly dangerous and partly degrading conditions to which it confines the working and domestic life of the mine-worker, on the ground that they are necessary for profitable exploitation.	Im Konflikt mit der "öffentlichen Meinung" oder auch der Gesundheitspolizei geniert sich das Kapital durchaus nicht, die teils gefährlichen, teils entwürdigenden Bedingungen, worin es Funktion und Häuslichkeit des Arbeiters bannt, damit zu "rechtfertigen", das sei nötig, um ihn profitlicher auszubeuten.	ch25_clean.en-ch25_clean.de
It is the same thing when capital ‘abstains’ from protective measures against dangerous machinery in the factory, from safety appliances and means of ventilation in the mines, and so on.	So, wenn es entsagt auf Vorrichtungen zum Schutz gegen gefährliche Maschinerie in der Fabrik, auf Ventilations- und Sicherheitsmittel in den Minen usw. So hier mit der Behausung der Minenarbeiter.	ch25_clean.en-ch25_clean.de
It is the same here with the housing of the miners. Dr Simon, medical officer of the Privy Council, says in his official report: ‘In apology for the wretched household accommodation… it is alleged that mines are commonly worked on lease; that the duration of the lessee’s interest (which in collieries is commonly for twenty-one years), is not so long that he should deem it worth his while to create good accommodation for his labourers, and for the tradespeople and others whom the work attracts; that even if he were disposed to act liberally in the matter, this disposition would commonly be defeated by his landlord’s tendency to fix on him, as ground-rent, an exorbitant additional charge for the privilege of having on the surface of the ground the decent and comfortable village which the labourers of the subterranean property ought to inhabit, and that prohibitory price (if not actual prohibition) equally excludes others who might desire to build.	"Als Entschuldigung", sagt Dr. Simon, der ärztliche Beamte des Privy Council, in seinem offiziellen Bericht, "als Entschuldigung für die nichtswürdige Hauseinrichtung wird angeführt, daß Minen gewöhnlich pachtweise exploitiert werden, daß die Dauer des Pachtkontrakts (in Kohlenwerken meist 21 Jahre) zu kurz ist, damit der Minenpächter es der Mühe wert halte, gute Hauseinrichtung für das Arbeitsvolk und die Gewerbsleute usw. zu liefern, welche die Unternehmung anzieht; hätte er selbst die Absicht, nach dieser Seite hin liberal zu verfahren, so würde sie vereitelt werden durch den Grundeigentümer.	ch25_clean.en-ch25_clean.de
It would be foreign to the purpose of this report to enter upon any discussion of the merits of the above apology.	Der habe nämlich die Tendenz, sofort exorbitante Zuschußrente zu verlangen für das Privilegium, ein anständiges und komfortables Dorf auf der Grundoberfläche zu errichten zur Behausung der Bearbeiter des unterirdischen Eigentums.	ch25_clean.en-ch25_clean.de
Nor here is it even needful to consider where it would be that, if decent accommodation were provided, the cost… would eventually fall – whether on landlord, or lessee, or labourer, or public.	Dieser prohibitorische Preis, wenn nicht direkte Prohibition, schrecke ebenfalls andre ab, welche sonst wohl bauen möchten ...	ch25_clean.en-ch25_clean.de
But in presence of such shameful facts as are vouched for in the annexed reports’ (those of Dr Hunter, Dr Stevens, etc.) ‘a remedy may well be claimed… Claims of landlordship are being so used as to do great public wrong.	Ich will den Wert dieser Entschuldigung nicht weiter untersuchen, auch nicht, auf wen denn in letzter Hand die zuschüssige Ausgabe für anständige Wohnlichkeit fallen würde, auf den Grundherrn, den Minenpächter, die Arbeiter oder das Publikum ...	ch25_clean.en-ch25_clean.de
	Aber angesichts solcher schmählichen Tatsachen, wie die beigefügten Berichte" (des Dr. Hunter, Stevens usw.) "sie enthüllen, muß ein Heilmittel angewandt werden ...	ch25_clean.en-ch25_clean.de
	Grundeigentumstitel werden so benutzt, um ein großes öffentliches Unrecht zu begehn.	ch25_clean.en-ch25_clean.de
The landlord in his capacity of mine-owner invites an industrial colony to labour on his estate, and then in his capacity of surface-owner makes it impossible that the labourers whom he collects, should find proper lodging where they must live.	In seiner Eigenschaft als Mineneigner ladet der Grundherr eine industrielle Kolonie zur Arbeit auf seiner Domäne ein und macht dann, in seiner Eigenschaft als Eigentümer der Grundoberfläche, den von ihm versammelten Arbeitern unmöglich, die zu ihrem Leben unentbehrliche, geeignete Wohnlichkeit zu finden.	ch25_clean.en-ch25_clean.de
The lessee’ (the capitalist exploiter of the mine) ‘meanwhile has no pecuniary motive for resisting that division of the bargain; well knowing that if its latter conditions be exorbitant, the consequences fall not on him, that his labourers on whom they fall have not education enough to know the value of their sanitary rights, that neither obscenest lodging nor foulest drinking water will be appreciable inducements towards a “ strike”.’ (d) Effect of Crises on the Best Paid Section of the Working Class Before I turn to the agricultural labourers, I shall just show, by one example, how crises have an impact even on the best paid section of the working class, on its aristocracy.	Der Minenpächter" (der kapitalistische Exploiteur) "hat kein Geldinteresse, dieser Teilung des Handels zu widerstehn, da er wohl weiß, daß, wenn die letztern Ansprüche exorbitant sind, die Folgen nicht auf ihn fallen, daß die Arbeiter, auf die sie fallen, zu unerzogen sind, um ihre Gesundheitsrechte zu kennen, und daß weder obzönste Wohnlichkeit noch faulstes Trinkwasser jemals Anlaß zu einem Strike liefern." d) Wirkung der Krisen auf den bestbezahlten Teil der Arbeiterklasse Bevor ich zu den eigentlichen Agrikulturarbeitern übergehe, soll an einem Beispiel noch gezeigt werden, wie die Krisen selbst auf den bestbezahlten Teil der Arbeiterklasse, auf ihre Aristokratie, wirken.	ch25_clean.en-ch25_clean.de
It will be remembered that the year 1857 brought one of the gigantic crises with which the industrial cycle always terminates.	Man erinnert sich: das Jahr 1857 brachte eine der großen Krisen, womit der industrielle Zyklus jedesmal abschließt.	ch25_clean.en-ch25_clean.de
The next crisis was due in 1866. Already discounted in the actual factory districts by the cotton famine, which threw much capital from its accustomed sphere into the great centres of the money-market, the crisis assumed this time a predominantly financial character.		ch25_clean.en-ch25_clean.de
Its outbreak in May 1866 was signalled by the failure of a giant London bank, immediately followed by the collapse of countless swindling companies.	Der nächste Termin wurde 1866 fällig. Bereits diskontiert in den eigentlichen Fabrikdistrikten durch die Baumwollnot, welche viel Kapital aus der gewohnten Anlagesphäre zu den großen Zentralsitzen des Geldmarkts jagte, nahm die Krise diesmal einen vorwiegend finanziellen Charakter an.	ch25_clean.en-ch25_clean.de
	Ihr Ausbruch im Mai 1866 wurde signalisiert durch den Fall einer Londoner Riesenbank, dem der Zusammensturz zahlloser finanzieller Schwindelgesellschaften auf dem Fuß nachfolgte.	ch25_clean.en-ch25_clean.de
One of the great London branches of industry involved in the catastrophe was iron shipbuilding.	Einer der großen Londoner Geschäftszweige, welche die Katastrophe traf, war der eiserne Schiffsbau.	ch25_clean.en-ch25_clean.de
The magnates of this trade had not only overproduced beyond all measure during the swindling period,* but they had, apart from this, entered into enormous contracts on the speculative assumption that credit would be forthcoming to an equivalent extent.	Die Magnaten dieses Geschäfts hatten während der Schwindelzeit nicht nur maßlos überproduziert, sondern zudem enorme Lieferungskontrakte übernommen, auf die Spekulation hin, daß die Kreditquelle gleich reichlich fortfließen werde.	ch25_clean.en-ch25_clean.de
A terrible reaction then set in, which continues even now (at the end of March 1867) both in shipbuilding and in other London industries.	Jetzt trat eine furchtbare Reaktion ein, die auch in andren Londoner Industrien bis zur Stunde, Ende März 1867, fortdauert.	ch25_clean.en-ch25_clean.de
Let me characterize the situation of the workers by quoting the following from a very detailed report by a correspondent of the Morning Star, who visited the chief centres of distress at the end of 1866 and the beginning of 1867: ‘In the East End districts of Poplar, Millwall, Greenwich, Deptford, Limehouse and Canning Town, at least 15, workmen and their families were in a state of utter destitution, and 3, skilled mechanics were breaking stones in the workhouse yard (after distress of over half a year’s duration)… I had great difficulty in reaching the workhouse door, for a hungry crowd besieged it… They were waiting for their tickets, but the time had not yet arrived for the distribution.	Zur Charakteristik der Lage der Arbeiter folgende Stelle aus dem ausführlichen Bericht eines Korrespondenten des "Morning Star", welcher Anfang 1867 die Hauptsitze des Leidens besuchte. "Im Osten von London, den Distrikten von Poplar, Millwall, Greenwich, Deptford, Limehouse und Canning Town befinden sich mindestens 15.000 Arbeiter samt Familien in einem Zustand äußerster Not, darunter über 3.000 geschickte Mechaniker. Ihre Reservefonds sind erschöpft infolge sechs- oder achtmonatiger Arbeitslosigkeit ... Ich hatte große Mühe, zum Tor des Workhouse (von Poplar) vorzudringen, denn es war belagert von einem ausgehungerten Haufen. Er wartete auf Brotbilletts, aber die Zeit zur Verteilung war noch nicht gekommen.	ch25_clean.en-ch25_clean.de
The yard was a great square place with an open shed running all round it, and several large heaps of snow covered the paving-stones in the middle.	Der Hof bildete ein großes Quadrat mit einem Pultdach, das rings um seine Mauern läuft. Dichte Schneehaufen bedeckten die Pflastersteine in der Mitte des Hofes.	ch25_clean.en-ch25_clean.de
In the middle, also, were little wicker-fenced spaces, like sheep pens, where in finer weather the men worked; but on the day of my visit the pens were so snowed up that nobody could sit in them.	Hier waren gewisse kleine Plätze mit Weidengeflecht abgeschlossen, gleich Schafhürden, worin die Männer bei besserem Wetter arbeiten. Am Tage meines Besuchs waren die Hürden so verschneit, daß niemand in ihnen sitzen konnte.	ch25_clean.en-ch25_clean.de
Men were busy, however, in the open shed breaking paving-stones into macadam.	Die Männer waren jedoch unter dem Schutz der Dachvorsprünge mit Makadamisierung von Pflastersteinen beschäftigt.	ch25_clean.en-ch25_clean.de
Each man had a big paving-stone for a seat, and he chipped away at the rime-covered granite until he had broken up, and think! five bushels of it, and then he had done his day’s work, and got his day’s pay – threepence and an allowance of food.	Jeder hatte einen dicken Pflasterstein zum Sitz und klopfte mit schwerem Hammer auf den frostbedeckten Granit, bis er 5 Bushel davon abgehauen hatte. Dann war sein Tagewerk verrichtet und erhielt er 3 d." (2 Silbergroschen, 6 Pfennige) "und ein Billett für Brot.	ch25_clean.en-ch25_clean.de
In another part of the yard was a rickety little wooden house, and when we opened the door of it, we found it filled with men who were huddled together shoulder to shoulder, for the warmth of one another’s bodies and breath.	In einem andren Teil des Hofes stand ein rachitisches kleines Holzhaus. Beim Öffnen der Tür fanden wir es gefüllt mit Männern, Schulter an Schulter gedrängt, um einander warm zu halten.	ch25_clean.en-ch25_clean.de
They were picking oakum and disputing the while as to which could work the longest on a given quantity of food – for endurance was the point of honour.	Sie zupften Schiffstau und stritten miteinander, wer von ihnen mit einem Minimum von Nahrung am längsten arbeiten könne, denn Ausdauer war der point d'honneur.	ch25_clean.en-ch25_clean.de
Seven thousand… in this one workhouse… were recipients of relief… many hundreds of them… it appeared, were, six or eight months ago, earning the highest wages paid to artisans… Their number would be more than doubled by the count of those who, having exhausted all their savings, still refuse to apply to the parish, because they have a little left to pawn.	In diesem einen Workhouse allein erhielten 7.000 Unterstützung, darunter viele Hunderte, die 6 oder 8 Monate zuvor die höchsten Löhne geschickter Arbeit in diesem Land verdienten. Ihre Zahl wäre doppelt so groß gewesen, gäbe es nicht so viele, welche nach Erschöpfung ihrer ganzen Geldreserve dennoch vor Zuflucht zur Pfarrei zurückbeben, solange sie noch irgend etwas zu versetzen haben ...	ch25_clean.en-ch25_clean.de
Leaving the workhouse, I took a walk through the streets, mostly of little one-storey houses, that abound in the neighbourhood of Poplar.	Das Workhouse verlassend, machte ich einen Gang durch die Straßen von meist einstöckigen Häusern, die in Poplar so zahlreich.	ch25_clean.en-ch25_clean.de
My guide was a member of the Committee of the Unemployed… My first call was on an ironworker who had been seven and twenty weeks out of employment.	Mein Führer war Mitglied des Komitees für die Arbeitslosen. Das erste Haus, worin wir eintraten, war das eines Eisenarbeiters, seit 27 Wochen außer Beschäftigung.	ch25_clean.en-ch25_clean.de
I found the man with his family sitting in a little back room.	Ich fand den Mann mit seiner ganzen Familie in einem Hinterzimmer sitzend.	ch25_clean.en-ch25_clean.de
The room was not bare of furniture, and there was a fire in it.	Das Zimmer war noch nicht ganz von Möbeln entblößt, und es war Feuer darin.	ch25_clean.en-ch25_clean.de
This was necessary to keep the naked feet of the young children from getting frost bitten, for it was a bitterly cold day.	Dies war nötig, um die nackten Füße der jungen Kinder vor Frost zu schützen, denn es war ein grimmig kalter Tag.	ch25_clean.en-ch25_clean.de
On a tray infront of the fire lay a quantity of oakum, which the wife and children were picking in return for their allowance from the parish.	Auf einem Teller gegenüber dem Feuer lag ein Quantum Werg, welches Frau und Kinder zupften in Erstattung des Brots vom Workhouse.	ch25_clean.en-ch25_clean.de
The man worked in the stone yard of the workhouse for a certain ration of food, and threepence per day.	Der Mann arbeitete in einem der oben beschriebenen Höfe für ein Brotbillett und 3 d. per Tag.	ch25_clean.en-ch25_clean.de
He had now come home to dinner quite hungry, as he told us with a melancholy smile, and his dinner consisted of a couple of slices of bread and dripping, and a cup of milkless tea… The next door at which we knocked was opened by a middle-aged woman, who, without saying a word, led us into a little back parlour, in which sat all her family, silent and fixedly staring at a rapidly dying fire.	Er kam jetzt nach Haus zum Mittagessen, sehr hungrig, wie er uns mit einem bittern Lächeln sagte, und sein Mittagessen bestand aus einigen Brotschnitten mit Schmalz und einer Tasse milchlosen Tees ... Die nächste Tür, an der wir anklopften, wurde geöffnet durch ein Frauenzimmer mittleren Alters, die, ohne ein Wort zu sagen, uns in ein kleines Hinterzimmer führte, wo ihre ganze Familie saß, schweigend, die Augen auf ein rasch ersterbendes Feuer geheftet.	ch25_clean.en-ch25_clean.de
Such desolation, such hopelessness was about these people and their little room, as I should not care to witness again.	Solche Verödung, solche Hoffnungslosigkeit hing um diese Leute und ihr kleines Zimmer, daß ich nicht wünsche, je eine ähnliche Szene wieder zu sehn.	ch25_clean.en-ch25_clean.de
“Nothing have they done, sir,” said the woman, pointing to her boys,” for six and twenty weeks; and all our money gone – all the twenty pounds that me and father saved when times were better, thinking it would yield a little to keep us when we got past work.	'Nichts haben sie verdient, mein Herr', sagte die Frau, auf ihre Jungen zeigend, 'nichts für 26 Wochen, und all unser Geld ist hingegangen, alles Geld, das ich und der Vater in den beßren Zeiten zurücklegten, in dem Wahn, einen Rückhalt während schlechten Geschäfts zu sichern.	ch25_clean.en-ch25_clean.de
Look at it,” she said, almost fiercely, bringing out a bankbook with all its well-kept entries of money paid in, and money taken out, so that we could see how the little fortune had begun with the first five shilling deposit, and had grown by little and little to be twenty pounds, and how it had melted down again till the sum in hand got from pounds to shillings, and the last entry made the book as worthless as a blank sheet.	Sehn Sie es', schrie sie fast wild, indem sie ein Bankbuch hervorholte mit allen seinen regelmäßigen Nachweisen über eingezahltes und rückerhaltnes Geld, so daß wir sehn konnten, wie das kleine Vermögen begonnen hatte mit dem ersten Deposit von 5 Shilling, wie es nach und nach zu 20 Pfd.St. aufwuchs und dann wieder zusammenschmolz, von Pfunden zu Shillingen, bis der letzte Eintrag das Buch so wertlos machte wie ein leeres Stück Papier.	ch25_clean.en-ch25_clean.de
This family received relief from the workhouse, and it furnished them with just one scanty meal per day… Our next visit was to an iron labourer’s wife, whose husband had worked in the yards.	Diese Familie erhielt ein notdürftiges Mahl täglich vom Workhouse ... Unsere folgende Visite war zur Frau eines Irländers, der an den Schiffswerften gearbeitet hatte.	ch25_clean.en-ch25_clean.de
We found her ill from want of food, lying on a mattress in her clothes, and just covered with a strip of carpet, for all the bedding had been pawned.	Wir fanden sie krank von Nahrungsmangel, in ihren Kleidern auf eine Matratze gestreckt, knapp bedeckt mit einem Stück Teppich, denn alles Bettzeug war im Pfandhaus.	ch25_clean.en-ch25_clean.de
Two wretched children were tending her, themselves looking as much in need of nursing as their mother.	Die elenden Kinder warteten sie und sahen aus, als bedürften sie umgekehrt der mütterlichen Pflege.	ch25_clean.en-ch25_clean.de
Nineteen weeks of enforced idleness had brought them to this pass, and while the mother told the history of that bitter past, she moaned as if all her faith in a future that should atone for it were dead… On getting outside a young fellow came running after us, and asked us to step inside his house and see if anything could be done for him.	Neunzehn Wochen erzwungnen Müßiggangs hatten sie so weit heruntergebracht, und während sie die Geschichte der bittern Vergangenheit erzählte, stöhnte sie, als ob alle Hoffnung auf eine bessere Zukunft verloren wäre ... Beim Austritt aus dem Hause rannte ein junger Mann auf uns zu und bat uns, in sein Haus zu gehn und zu sehn, ob irgend etwas für ihn geschehen könne.	ch25_clean.en-ch25_clean.de
A young wife, two pretty children, a cluster of pawn-tickets, and a bare room were all he had to show.’* On the after-pains of the crisis of 1866, we shall quote an extract from a Tory newspaper.	Ein junges Weib, zwei hübsche Kinder, ein Kluster von Pfandzetteln und ein ganz kahles Zimmer war alles, was er zu zeigen hatte." Über die Nachwehen der Krise von 1866 folgender Auszug aus einer torystischen Zeitung.	ch25_clean.en-ch25_clean.de
It must not be forgotten that the East End of London, which is dealt with here, is not only the location of the iron shipbuilding mentioned above, but also of the so-called domestic industry, which is always paid less than the minimum wage.	Man muß nicht vergessen, daß der Ostteil Londons, um den es sich hier handelt, nicht nur Sitz der im Text des Kapitels erwähnten eisernen Schiffsbauer, sondern auch einer stets unter dem Minimum bezahlten sog. "Hausarbeit" ist.	ch25_clean.en-ch25_clean.de
‘A frightful spectacle was to be seen yesterday in one part of the metropolis.	"Ein entsetzliches Schauspiel entrollte sich gestern in einem Teil der Metropole.	ch25_clean.en-ch25_clean.de
Although the unemployed thousands of the East-end did not parade with their black flags en masse, the human torrent was imposing enough.	Obgleich die arbeitslosen Tausende des Ostendes mit schwarzen Trauerflaggen nicht in Masse paradierten, war der Menschenstrom imposant genug.	ch25_clean.en-ch25_clean.de
Let us remember what these people suffer.	Erinnern wir uns, was diese Bevölkerung leidet.	ch25_clean.en-ch25_clean.de
They are dying of hunger.	Sie stirbt vor Hunger.	ch25_clean.en-ch25_clean.de
That is the simple and terrible fact.	Das ist die einfache und furchtbare Tatsache.	ch25_clean.en-ch25_clean.de
There are 40, of them… In our presence, in one quarter of this wonderful metropolis, are packed – next door to the most enormous accumulation of wealth the world ever saw – cheek by jowl with this are 40, helpless, starving people.	Es sind ihrer 40.000 ... In unsrer Gegenwart, in einem Viertel dieser wundervollen Metropole, dicht neben der enormsten Akkumulation von Reichtum, welche die Welt je sah, dicht dabei 40.000 hilflos verhungernd!	ch25_clean.en-ch25_clean.de
These thousands are now breaking in upon the other quarters; always half-starving, they cry their misery in our ears, they cry to Heaven, they tell us from their miserable dwellings, that it is impossible for them to find work, and useless for them to beg.	Diese Tausende brechen jetzt ein in die andren Viertel; sie, in allen Zeiten halbverhungert, schreien uns ihr Weh ins Ohr, sie schreien es zum Himmel, sie erzählen uns von ihren elendgeschlagenen Wohnungen, daß es unmöglich für sie, Arbeit zu finden, und nutzlos zu betteln.	ch25_clean.en-ch25_clean.de
The local ratepayers themselves are driven by the parochial charges to the verge of pauperism’ (Standard, 5 April 1867).	Die lokalen Armensteuerpflichtigen sind durch die Forderungen der Pfarreien selbst an den Rand des Pauperismus getrieben."	ch25_clean.en-ch25_clean.de
As it is the fashion amongst English capitalists to quote Belgium as the workers’ paradise, because ‘freedom of labour’ or, what is the same thing, ‘freedom of capital’ is there limited neither by the despotism of the trade unions nor by the shackles of the Factory Acts, we shall say a word or two here about the ‘good fortune’ of the Belgian worker.	("Standard" 5. April 1867.) Da es Mode unter den englischen Kapitalisten ist, Belgien als das Paradies des Arbeiters zu schildern, weil "die Freiheit der Arbeit" oder, was dasselbe ist, "die Freiheit des Kapitals" dort weder durch den Despotismus der Trades' Unions noch durch Fabrikgesetze verkümmert sei, hier ein paar Worte über das "Glück" des belgischen Arbeiters.	ch25_clean.en-ch25_clean.de
Assuredly no one was more thoroughly initiated into the mysteries of this good fortune than the late M. Ducpétiaux, inspector-general of Belgian prisons and charitable institutions, and member of the Central Statistical Commission of Belgium.	Sicher war niemand tiefer eingeweiht in die Mysterien dieses Glücks als der verstorbene Herr Ducpétiaux, Generalinspektor der belgischen Gefängnisse und Wohltätigkeitsanstalten und Mitglied der Zentralkommission für belgische Statistik.	ch25_clean.en-ch25_clean.de
Let us take his work Budgets économiques des classes ouvrières de la Belgique (Brussels, 1855).	Nehmen wir sein Werk: "Budgets éonomiques des classes ouvrières en Belgique", Bruxelles 1855.	ch25_clean.en-ch25_clean.de
Here we find, among other things, a discussion of a normal Belgian worker’s family, whose yearly income and expenditure he calculates on very exact data, and whose conditions of nourishment are then compared with those of the soldier, the sailor and the prisoner.	Hier finden wir u.a. eine belgische Normalarbeiterfamilie, deren jährliche Ausgaben und Einnahmen nach sehr genauen Daten berechnet, und deren Nahrungsverhältnisse dann mit denen des Soldaten, des Flottenmatrosen und des Gefangnen verglichen werden.	ch25_clean.en-ch25_clean.de
The family ‘consists of father, mother, and four children’.	Die Familie "besteht aus Vater, Mutter und vier Kindern".	ch25_clean.en-ch25_clean.de
Of these six persons, ‘four may be usefully employed the whole year through’. It is assumed that ‘there is no sick person among them, or anyone incapable of work’, nor are there ‘expenses for religious, moral and intellectual purposes, except a very small sum for church pews’, nor contributions to savings banks or benefit societies, ‘nor expenses due to luxury or the result of improvidence’.	Von diesen sechs Personen "können vier das ganze Jahr durch nützlich beschäftigt werden"; es wird vorausgesetzt, "daß es weder Kranke noch Arbeitsunfähige darunter gibt" noch "Ausgaben für religiöse, moralische und intellektuelle Zwecke, ausgenommen ein sehr Geringes für Kirchenstühle", noch "Beiträge zu Sparkassen oder Altersversorgungskassen", noch "Luxus- oder sonstige überflüssige Ausgaben".	ch25_clean.en-ch25_clean.de
The father and eldest son, however, allow themselves ‘the use of tobacco’, and on Sundays ‘go to the ale-house’, for which a whole 86 centimes a week are reckoned.	Doch sollen der Vater und der älteste Sohn Tabak rauchen und sonntags das Wirtshaus besuchen dürfen, wofür ihnen ganze 86 Centimen die Woche ausgesetzt sind.	ch25_clean.en-ch25_clean.de
‘From a general compilation of wages allowed to workers in different trades, it follows that the highest average daily wage is 1 franc 56 centimes for men, 89 centimes for women, 56 centimes for boys, and 55 centimes for girls.	"Aus der Gesamtzusammenstellung der den Arbeitern der verschiednen Geschäftszweige bewilligten Löhne folgt ... daß der höchste Durchschnitt des täglichen Lohns ist: 1 fr. 56 c. für Männer, 89 c. für Frauen, 56 c. für Knaben und 55 c. für Mädchen.	ch25_clean.en-ch25_clean.de
Calculated at this rate, the resources of the family would amount, at the maximum, to 1, francs a year… In the family taken as typical we have calculated all possible resources.	Hiernach berechnet, würden sich die Einkünfte der Familie allerhöchstens auf 1.068 fr. jährlich belaufen ...	ch25_clean.en-ch25_clean.de
In ascribing wages to the mother of the family, however, we thereby remove the household from her management.	In der als typisch angenommenen Haushaltung haben wir alle möglichen Einkünfte zusammengerechnet.	ch25_clean.en-ch25_clean.de
But who will look after the house and the young children?	Wenn wir aber der Mutter einen Arbeitslohn anrechnen, entziehen wir dadurch die Haushaltung ihrer Leitung; wer besorgt das Haus, wer die kleinen Kinder?	ch25_clean.en-ch25_clean.de
Who will prepare the meals, do the washing and mending?	Wer soll kochen, waschen, flicken?	ch25_clean.en-ch25_clean.de
This is the dilemma presented every day to the workers.’	Dies Dilemma tritt jeden Tag vor die Arbeiter."	ch25_clean.en-ch25_clean.de
According to this the budget of the family is: The father 300 working days at fr.	Der Budget der Familie ist demnach: der Vater 300 Arbeitstage zu fr.	ch25_clean.en-ch25_clean.de
1. fr.	1,56 fr.	ch25_clean.en-ch25_clean.de
468 The mother 300 working days at fr.	468,- die Mutter fr.	ch25_clean.en-ch25_clean.de
89 fr.	0,89 fr.	ch25_clean.en-ch25_clean.de
267 The boy 300 working days at fr.	267,- der Junge fr.	ch25_clean.en-ch25_clean.de
56 fr.	0,56 fr.	ch25_clean.en-ch25_clean.de
168 The girl 300 working days at fr.	169,- das Mädchen fr.	ch25_clean.en-ch25_clean.de
55 fr.	0,55 fr.	ch25_clean.en-ch25_clean.de
165 Total fr.	165,- Total fr.	ch25_clean.en-ch25_clean.de
1, The annual expenditure of the family would result in the following deficits, according to whether the worker has the food of: The sailor in the fleet fr.	1.068,- Die Jahresausgabe der Familie und ihr Defizit würden ausmachen, falls der Arbeiter die Nahrung hätte: des Flottenmatrosen fr.	ch25_clean.en-ch25_clean.de
1, Deficit fr.	1.828,- Defizit fr.	ch25_clean.en-ch25_clean.de
760 The soldier fr.	760,- des Soldaten fr.	ch25_clean.en-ch25_clean.de
1, Deficit fr.	1473,- Defizit fr.	ch25_clean.en-ch25_clean.de
405 The prisoner fr.	405,- des Gefangenen fr.	ch25_clean.en-ch25_clean.de
1, Deficit fr.	1112,- Defizit fr.	ch25_clean.en-ch25_clean.de
44 ‘We see that few workers’ families can reach, we will not say the average of the sailor or soldier, but even that of the prisoner.	44,- "Man sieht, daß wenig Arbeiterfamilien sich die Nahrung verschaffen können, nicht etwa des Matrosen oder des Soldaten, sondern selbst des Gefangnen.	ch25_clean.en-ch25_clean.de
The general average (of the cost of each prisoner in the different prisons during the period 1847 to 1849), has been 63 centimes for all prisons.	Im Durchschnitt hat jeder Gefangne 1847-1849 in Belgien 63 c. täglich gekostet, was gegen die täglichen Unterhaltungskosten des Arbeiters einen Unterschied von 13 c. ergibt.	ch25_clean.en-ch25_clean.de
This figure, compared with that of the daily maintenance of the worker, shows a difference of 13 centimes.	Die Verwaltungs- und Überwachungskosten gleichen sich aus dagegen, daß der Gefangne keine Miete zahlt ...	ch25_clean.en-ch25_clean.de
It must be remarked further that if in the prisons it is necessary to set down in the account the expenses of administration and surveillance, on the other hand, the prisoners do not have to pay for their lodgings… How does it happen, then, that a great number, we might say the great majority of workers, live even more economically than prisoners?	Wie aber geht es zu, daß eine große Zahl, wir könnten sagen, die große Mehrzahl der Arbeiter in noch sparsameren Verhältnissen lebt?	ch25_clean.en-ch25_clean.de
It is because they adopt expedients whose secrets are only known by the workers: they reduce their daily rations; they substitute rye-bread for wheat; they eat less meat, or even none at all, and the same with butter and condiments; they content themselves with one or two rooms where the family is crammed together, where boys and girls sleep side by side, often on the same mattress; they economize on clothing, washing, and decency; they give up the diversions of Sunday; in short, they resign themselves to the most painful privations.	Nur indem sie zu Notbehelfen flüchtet, wovon der Arbeiter allein das Geheimnis hat; indem sie an der täglichen Ration abknappt; Roggenbrot statt Weizenbrot ißt; weniger oder gar kein Fleisch ißt; ebenso mit Butter und Gewürzen; indem sie die Familie in eine oder zwei Kammern packt, wo Mädchen und Jungen zusammen schlafen, oft auf demselben Strohsack; indem sie an der Kleidung spart, der Wäsche, den Reinigungsmitteln; indem sie den Sonntagsvergnügungen entsagt, kurz, sich zu den schmerzlichsten Entbehrungen entschließt.	ch25_clean.en-ch25_clean.de
Once this extreme limit has been reached, the least rise in the price of food, the shortest stoppage of work, the slightest illness, increases the worker’s distress and brings him to complete disaster: debts accumulate, credit fails, the most necessary clothes and furniture are pawned, and finally the family asks to be enrolled on the list of paupers.’	Einmal bei dieser letzten Grenze angelangt, vermehrt der geringste Preisaufschlag der Lebensmittel, eine Arbeitsstockung, eine Krankheit das Elend des Arbeiters und ruiniert ihn vollständig. Die Schulden häufen sich, der Kredit wird versagt, die Kleider, die notwendigsten Möbel wandern ins Pfandhaus, und schließlich bittet die Familie um Einschreibung in die Armenliste."	ch25_clean.en-ch25_clean.de
