0,Chapter 25: The General Law of Capitalist Accumulation 1.,DREIUNDZWANZIGSTES KAPITEL. TEIL I.,3.9542573176185387
703,They are seen standing in the various stages of natural decay.,Man findet sie auf den verschiednen Stufen natürlichen Verfalls.,3.339933918541589
704,"While the shelter holds together, the labourer is permitted to rent it, and glad enough he will be to do so, even at the price of decent lodging.","Solange das Obdach zusammenhält, wird dem Arbeiter erlaubt, Rente dafür zu zahlen, und er ist oft sehr froh, dies tun zu dürfen, selbst wenn er den Preis einer guten Wohnung zu zahlen hat.",2.8710089930618867
705,"But no repair, no improvement shall it receive, except such as its penniless occupants can supply.","Aber keine Reparatur, keine Ausbesserung, außer die der pfenniglose Inhaber leisten kann.",3.3513254172363753
706,"And when at last it becomes quite uninhabitable – uninhabitable even to the humblest standard of serfdom – it will be but one more destroyed cottage, and future poor-rates will be somewhat lightened.","Wird es endlich zuletzt ganz unbewohnbar, so ist es nur eine zerstörte Cottage mehr und so viel künftige Armensteuer weniger.",2.9564432991446403
707,"While great owners are thus escaping from poor-rates through the depopulation of lands over which they have control, the nearest town or open village receives the evicted labourers; the nearest, I say, but this “nearest” may mean three or four miles distant from the farm where the labourer has his daily toil.","Während die großen Eigentümer die Armensteuer so von sich abwälzen durch Entvölkerung des von ihnen kontrollierten Grund und Bodens, nimmt das nächste Landstädtchen oder offne Ortschaft die hinausgeworfnen Arbeiter auf; die nächste, sage ich, aber dies 'nächste' mag 3 oder 4 Meilen vom Pachthof sein, wo der Arbeiter sich täglich abzuplacken hat.",3.1306536544231864
708,"To that daily toil there will then have to be added, as though it were nothing, the daily need of walking six or eight miles for power of earning his bread.","So wird seinem Tageswerk, als ob es gar nichts sei, die Notwendigkeit eines täglichen Marsches von 6 oder 8 Meilen zur Verdienung seines täglichen Brotes hinzugefügt.",2.8586142341372422
709,"And whatever farm-work is done by his wife and children, is done at the same disadvantage.",Alle von seiner Frau und seinen Kindern verrichtete Landarbeit geht jetzt unter denselben erschwerenden Umständen vor.,3.07396910981263
710,Nor is this nearly all the toil which the distance occasions him.,"Und dies ist nicht das ganze Übel, welches ihm die Entfernung verursacht.",2.8439659947107327
711,"In the open village, cottage-speculators buy scraps of land, which they throng as densely as they can with the cheapest of all possible hovels.","In der offnen Ortschaft kaufen Bauspekulanten Bodenfetzen, welche sie so dicht wie möglich mit den wohlfeilsten aller möglichen Spelunken besäen.",2.7570117649595707
712,"And into those wretched habitations (which, even if they adjoin the open country, have some of the worst features of the worst town residences) crowd the agricultural labourers of England2… Nor on the other hand must it be supposed that even when the labourer is housed upon the lands which he cultivates, his household circumstances are generally such as his life of productive industry would seem to deserve.","Und in diesen elenden Wohnlichkeiten, die sogar, wenn sie auf das offne Land münden, die ungeheuerlichsten Charakterzüge der schlechtesten Stadtwohnungen teilen, hocken die Ackerbauarbeiter Eng- lands ...",3.2336658991399783
713,Even on princely estates… his cottage… may be of the meanest description.,"Andrerseits muß man sich nur nicht einbilden, daß selbst der auf dem Grund und Boden, den er bebaut, behauste Arbeiter eine Wohnlichkeit findet, wie sie sein Leben produktiver Industrie verdient.",3.4162880597852725
714,"There are landlords who deem any stye good enough for their labourer and his family, and who yet do not disdain to drive with him the hardest possible bargain for rent.","Selbst auf den fürstlichsten Gütern ist seine Cottage oft von der allerjämmerlichsten Art. Es gibt Landlords, die einen Stall gut genug für ihre Arbeiter und deren Familien glauben und die es dennoch nicht verschmähn, aus ihrer Miete so viel Bares als möglich herauszuschlagen.",2.996645829460478
715,"It may be but a ruinous one-bedroomed hut, having no fire-grate, no privy, no opening window, no water supply but the ditch, no garden – but the labourer is helpless against the wrong… And the Nuisances Removal Acts… are… a mere dead letter… in great part dependent for their working on such cottage-owners as the one from whom his’ (the labourer’s) ‘hovel is rented… From brighter, but exceptional scenes, it is requisite in the interests of justice, that attention should again be drawn to the overwhelming preponderance of facts which are a reproach to the civilization of England.","Es mag nur eine verfallende Hütte mit einer Schlafstube sein, ohne Feuerherd, ohne Abtritt, ohne öffenbare Fenster, ohne Wasserzufuhr außer dem Graben, ohne Garten, der Arbeiter ist hilflos gegen die Unbill. Und unsre gesundheitspolizeilichen Gesetze (The Nuisances Removal Acts) sind ein toter Buchstabe. Ihre Ausführung ist ja grade den Eigentümern anvertraut, welche solche Löcher vermieten ... Man muß sich durch ausnahmsweise lichtvollere Szenen nicht blenden lassen über das erdrückende Übergewicht der Tatsachen, die ein Schandfleck der englischen Zivilisation sind.",3.4551641565339155
716,"Lamentable indeed, must be the case, when, notwithstanding all that is evident with regard to the quality of the present accommodation, it is the common conclusion of competent observers that even the general badness of dwellings is an evil infinitely less urgent than their mere numerical insufficiency.","Schauderhaft muß in der Tat die Lage der Dinge sein, wenn, trotz der augenfälligen Ungeheuerlichkeit der gegenwärtigen Behausung, kompetente Beobachter einstimmig zu dem Schlußresultat gelangen, daß selbst die allgemeine Nichtswürdigkeit der Wohnungen noch ein unendlich minder drückendes Übel ist als ihr bloß numerischer Mangel.",2.8690859908712962
717,"For years the overcrowding of rural labourers’ dwellings has been a matter of deep concern, not only to persons who care for sanitary good, but to persons who care for decent and moral life.","Seit Jahren war die Überstopfung der Wohnungen der Landarbeiter ein Gegenstand tiefen Kummers nicht nur für Personen, die auf Gesundheit, sondern für alle, die auf anständiges und moralisches Leben halten.",2.8650712735873216
718,"For, again and again in phrases so uniform that they seem stereotyped, reporters on the spread of epidemic disease in rural districts have insisted on the extreme importance of that overcrowding, as an influence which renders it a quite hopeless task, to attempt the limiting of any infection which is introduced.","Denn, wieder und wieder, in Ausdrücken so gleichförmig, daß sie stereotypiert zu sein scheinen, denunzieren die Berichterstatter über die Verbreitung epidemischer Krankheiten in den ländlichen Distrikten Hausüberfüllung als eine Ursache, die jeden Versuch, den Fortschritt einer einmal eingeführten Epidemie aufzuhalten, durchaus vereitelt.",2.890850858306596
719,"And again and again it has been pointed out that, notwithstanding the many salubrious influences which there are in country life, the crowding which so favours the extension of contagious disease, also favours the origination of disease which is not contagious.","Und wieder und wieder ward nachgewiesen, daß den vielen gesunden Einflüssen des Landlebens zum Trotz die Agglomeration, welche das Umsichgreifen ansteckender Krankheiten so sehr beschleunigt, auch die Entstehung nicht ansteckender Krankheiten fördert.",3.036769845334373
720,And those who have denounced the overcrowded state of our rural population have not been silent as to a further mischief.,"Und die Personen, welche diesen Zustand denunziert haben, verschweigen weitres Unheil nicht.",3.4045026214891165
721,"Even where their primary concern has been only with the injury to health, often almost perforce they have been referred to other relations on the subject.","Selbst wo ihr ursprüngliches Thema nur die Gesundheitspflege betraf, waren sie beinahe gezwungen, auf die andren Seiten des Gegenstandes einzugehn.",3.1342423821034853
722,"In showing how frequently it happens that adult persons of both sexes, married and unmarried, are huddled together in single small sleeping rooms, their reports have carried the conviction that, under the circumstances they describe, decency must always be outraged, and morality almost of necessity must suffer.","Indem sie nachwiesen, wie häufig es sich ereignet, daß erwachsne Personen beiderlei Geschlechts, verheiratet und unverheiratet, zusammengehudelt (huddled) werden in engen Schlafstuben, mußten ihre Berichte die Überzeugung hervorrufen, daß unter den beschriebenen Umständen Scham- und Anstandsgefühl aufs gröbste verletzt und alle Moralität fast notwendig ruiniert wird ...",3.0912475490871385
723,"Thus, for instance, in the appendix of my last annual report, Dr Ord, reporting on an outbreak of fever at Wing, in Buckinghamshire, mentions how a young man who had come thither from Wingrave with fever, “in the first days of his illness slept in a room with nine other persons.","Z.B. in Appendix meines letzten Berichts erwähnt Dr. Ord, in seinem Bericht über den Fieberausbruch zu Wing in Buckinghamshire, wie ein junger Mann von Wingrave mit Fieber dorthin kam. In den ersten Tagen seiner Krankheit schlief er mit 9 andren Personen in einem Gemach zusammen.",2.8424834754894723
724,"Within a fortnight several of these persons were attacked, and in the course of a few weeks five out of the nine had fever, and one died.”… From Dr Harvey, of St George’s Hospital, who, on private professional business, visited Wing during the time of the epidemic, I received information exactly in the sense of the above report… “A young woman having fever, lay at night in a room occupied by her father, and mother, her bastard child, two young men (her brothers), and her two sisters, each with a bastard child – ten persons in all.","In zwei Wochen wurden verschiedne Personen ergriffen, im Verlauf weniger Wochen verfielen 5 von den 9 Personen dem Fieber, und eine starb! Gleichzeitig berichtete mir Dr. Harvey von St. Georges Spital, der Wing wahrend der Epidemiezeit in Angelegenheiten seiner Privatpraxis besuchte, in demselben Sinne: 'Ein junges, fieberkrankes Frauenzimmer schlief nachts in derselben Stube mit Vater, Mutter, ihrem Bastardkind, zwei jungen Männern, ihren Brüdern, und ihren zwei Schwestern, jede mit einem Bastard, in allem 10 Personen.",3.086518002656187
725,A few weeks ago thirteen persons slept in it.”’,"Wenige Wochen vorher schliefen 13 Kinder in demselben Raume.'""",3.633975064777281
726,"Dr Hunter investigated 5, agricultural labourers’ cottages, not only in the purely agricultural districts, but in all the counties of England.","Dr. Hunter untersuchte 5.375 Landarbeiter-Cottages, nicht nur in den reinen Agrikulturdistrikten, sondern in allen Grafschaften Englands.",3.591400688202944
727,"2, out of the 5, had only one bedroom (often used at the same time as a living-room), 2, only two, and 250 more than two. I give below a short selection of examples, gathered from a dozen counties.","Unter diesen 5.375 hatten 2.195 nur eine Schlafstube (oft zugleich Wohnstube), 2.930 nur 2 und 250 mehr als 2. Ich will für ein Dutzend Grafschaften eine kurze Blütenlese geben.",2.6802700654395015
728,(1) Bedfordshire Wrestlingworth.,1. Bedfordshire.,inf
729,"Bedrooms about 12 feet long and 10 broad, although many are smaller than this.","Wrestlingworth: Schlafzimmer ungefähr 12 Fuß lang und 10 breit, obgleich viele kleiner sind.",2.9926070192635543
730,"The small, one-storied cots* are often divided by partitions into two bedrooms, one bed frequently in a kitchen, 5 feet 6 inches in height.","Die kleine einstöckige Hütte wird oft durch Bretter in zwei Schlafstuben geteilt, oft ein Bett in einer Küche 5 Fuß 6 Zoll hoch.",3.190624736180669
731,"Rent, £ a year.",Miete 3 Pfd.St.,6.37165271999836
732,"The tenants have to make their own privies, the landlord only supplies a hole.","Die Mieter haben ihre eignen Abtritte zu bauen, der Hauseigentümer liefert nur ein Loch.",3.0252126940444604
733,"As soon as one has made a privy, it is made use of by the whole neighbourhood.","So oft einer einen Abtritt baut, wird letzterer von der ganzen Nachbarschaft benutzt.",3.127402204630815
734,"One house, belonging to a family called Richardson, was of quite unapproachable beauty.",Ein Haus namens Richardson von unerreichbarer Schöne.,3.7700036785564492
735,‘Its plaster walls bulged very like a lady’s dress in a curtsey.,Seine Mörtelwände bauschten aus wie ein Damenkleid beim Knix.,3.623699056777901
736,"One gable end was convex, the other concave, and on this last, unfortunately, stood the chimney, a curved tube of clay and wood like an elephant’s trunk.","Ein Giebelende war konvex, das andre konkav, und auf dem letztren stand unglücklicherweise ein Schornstein, ein krummes Rohr von Lehm und Holz gleich einem Elefantenrüssel.",3.1246051673524353
737,A long stick served as prop to prevent the chimney from falling.,"Ein langer Stock diente als Stütze, um den Fall des Schornsteins zu verhindern.",3.364587780009334
738,The doorway and window were rhom-boidal.’,Tür und Fenster rautenförmig.,3.634264157790186
739,"Of seventeen houses visited, only four had more than one bedroom, and those four overcrowded.",Von 17 besuchten Häusern nur 4 mit mehr als 1 Schlafzimmer und diese 4 überstopft.,3.2761790283027907
740,"The cots with one bedroom sheltered three adults and three children, a married couple with six children, etc. Dunton. High rents, from £ to £5, weekly wages of the men, 10s.","Die einschläfrigen Cots bargen 3 Erwachsne mit 3 Kindern, ein verheiratetes Paar mit 6 Kindern usw. Dunton: Hohe Hausrenten, von 4 bis 5 Pfd.St., Wochenlohn der Männer 10 sh.",3.07245670278475
741,They hope to pay the rent by the straw-plaiting of the family.,"Sie hoffen, durch Strohflechten der Familie die Miete herauszuschlagen.",2.6387030428623413
742,"The higher the rent, the greater the number that must work together to pay.","Je höher die Hausmiete, desto größer die Zahl, die sich zusammentun muß, um sie zu zahlen.",2.6805298250498355
743,"Six adults, living with four children in one sleeping apartment, pay £ 10s. for it.","Sechs Erwachsne, die mit 4 Kindern in einer Schlafstube, zahlen dafür 3 Pfd.St. 10 sh.",3.071932414857494
744,"The cheapest house in Dunton, 15 feet long externally, 10 broad, let for £3.","Das wohlfeilste Haus in Dunton, von der Außenseite 15 Fuß lang, 10 breit, vermietet für 3 Pfd.St.",3.056613010442495
745,Only one of the houses investigated had two bedrooms.,Nur eins von den 14 untersuchten Häusern hatte zwei Schlafstuben.,2.835000157027015
746,"A little outside the village, a house whose ‘tenants dunged against the house-side’, the lower 9 inches of the door eaten away through sheer rottenness; the doorway, a single opening closed at night by a few bricks, ingeniously pushed up after shutting and covered with some matting.","Etwas vor dem Dorf ein Haus, von den Insassen bekotet vor seinen Außenwänden, die untern 9 Zoll der Tür verschwunden durch reinen Verfaulungsprozeß, einige Ziegelsteine von innen sinnreich des Abends beim Zuschließen vorgeschoben und mit etwas Matte verhangen.",3.332931443234202
747,"Half a window, with glass and frame, had gone the way of all flesh.","Ein halbes Fenster, samt Glas und Rahmen, war ganz den Weg alles Fleisches gegangen.",3.17652490206132
748,"Here, without furniture, huddled together were three adults and five children.","Hier, ohne Möbel, hudelten 3 Erwachsne und 5 Kinder zusammen.",2.5222252531195046
749,Dunton is not worse than the rest of the Biggleswade Union.,Dunton ist nicht schlimmer als der Rest der Biggleswade Union.,1.55329972190762
750,(2) Berkshire Beenham.,2. Berkshire.,inf
751,"In June 1864 a man, his wife and four children lived in a cot (one-storied cottage).","Beenham: Juni 1864 lebte ein Mann, Frau, 4 Kinder in einem Cot (einstöckigen Cottage).",3.1147968405720716
752,A daughter came home from service with scarlet fever.,Eine Tochter kam heim aus dem Dienst mit Scharlachfieber.,2.9422385156684516
753,She died.,Sie starb.,3.737456123410463
754,One child sickened and died.,Ein Kind erkrankte und starb.,3.650938954738617
755,The mother and one child were down with typhus when Dr Hunter was called in.,"Die Mutter und ein Kind litten am Typhus, als Dr. Hunter gerufen wurde.",3.53394248801211
756,"The father and one child slept outside, but the difficulty of securing isolation was seen here, for in the crowded market of the miserable village lay the linen of the fever-stricken household, waiting for the wash.","Der Vater und ein Kind schliefen auswärts, aber die Schwierigkeit, Isolierung zu sichern, zeigte sich hier, denn im vollgepfropften Markt des elenden Dorfs lag das Leinen des fiebergeschlagnen Hauses, auf Wäsche wartend. - Die Miete von H.'s Haus 1 sh. wöchentlich; das eine Schlafzimmer für ein Paar und 6 Kinder.",3.315499139436533
757,"The rent of H’s house, Is. a week; one bedroom without window, fire-place, door, or opening, except into the lobby; no garden.","Ein Haus vermietet zu 8 d. (wöchentlich), 14 Fuß 6 Zoll lang, 7 Fuß breit, Küche 6 Fuß hoch; das Schlafzimmer ohne Fenster, Feuerplatz, Tür noch Öffnung, außer nach dem Gang zu, kein Garten.",3.680952738467806
758,"A man lived here for a little while, with two grown-up daughters and one grown-up son; father and son slept on the bed, the girls in the passage.","Ein Mann lebte hier vor kurzem mit zwei erwachsnen Töchtern und einem aufwachsenden Sohn; Vater und Sohn schliefen auf dem Bett, die Mädchen auf dem Hausgang.",2.712626270624189
759,"Each of the latter had a child while the family was living here, but one went to the workhouse for her confinement and then came home.","Jede hatte ein Kind, solange die Familie hier lebte, aber eine ging zum Workhouse für ihre Entbindung und kehrte dann heim.",2.8335628474766548
760,"(3) Buckinghamshire Thirty cottages – on 1, acres of land – contained here about 130– persons.",3. Buckinghamshire. 30 Cottages - auf 1.000 Acres Land - enthalten hier ungefähr 130-140 Personen.,3.14372279249428
761,"The parish of Bradenham comprises 1, acres; it numbered, in 1851, thirty-six houses and a population of 84 males and 54 females.",Die Pfarrei von Bradenham umfaßt 1.000 Acres; sie hatte 1851 36 Häuser und eine Bevölkerung von 84 Manns- und 54 Weibspersonen.,3.312626346248471
762,"This inequality of the sexes was partly remedied in 1861, when they numbered 98 males and 87 females; an increase in ten years of 14 men and 33 women.","Diese geschlechtliche Ungleichheit geheilt 1861, wo sie 98 männlichen und 87 weiblichen Geschlechts zählte, Zuwachs in 10 Jahren von 14 Männern und 33 Weibern.",3.314497267691025
763,"Meanwhile, the number of houses had declined by 1.",Unterdes hatte die Häuserzahl um l abgenommen.,3.6397893802328105
764,"Winslow. Great part of this newly built in good style; demand for houses appears very marked, since very miserable cots let at 1s. to 1s.","Winslow: Großer Teil davon neu gebaut in gutem Stil; Nachfrage nach Häusern scheint bedeutend, weil sehr armselige Cots vermietet zu 1 sh. und 1 sh.",2.9402467618570536
765,3d. per week.,3 d. per Woche.,3.6906625029172013
766,"Water Eaton. Here the landlords, in view of the increasing population, have destroyed about 20 per cent of the existing houses.",Water Eaton: Hier haben die Eigentümer im Angesicht wachsender Bevölkerung ungefähr 20% der existierenden Häuser zerstört.,3.072343798235846
767,"A poor labourer, who had to go about 4 miles to his work, answered the question whether he could not find a cot nearer: ‘No; they know better than to take a man in with my large family.’ Tinker’s End, near Winslow.","Ein armer Arbeiter, der ungefähr 4 Meilen zu seinem Werk zu gehn hatte, antwortete auf die Frage, ob er kein Cot näher finden könnte: ""Nein, sie werden sich verdammt hüten, einen Mann mit meiner großen Familie aufzunehmen.""",2.8304330221524325
768,"A bedroom in which were four adults and four children; 11 feet long, 9 feet broad, 6 feet 5 inches high at its highest part; another 11 feet 3 inches by 9 feet, 5 feet 10 inches high, sheltered six persons.","Tinker's End, bei Winslow: Eine Schlafstube, worin 4 Erwachsne und 5 Kinder, 11 Fuß lang, 9 Fuß breit, 6 Fuß 5 Zoll hoch am höchsten Punkt; ein andres 11 Fuß 7 Zoll lang, 9 Fuß breit, 5 Fuß 10 Zoll hoch, beherbergte 6 Personen.",4.067991093939527
769,Each of these families had less space than is considered necessary for a convict.,Jede dieser Familien hatte weniger Raum als nötig für einen Galeerensträfling.,2.5143158377414507
770,"No house had more than one bedroom, not one of them a back door; water very scarce; weekly rent from Is.","Kein Haus hatte mehr als ein Schlafzimmer, keins eine Hintertür. Wasser sehr selten. Wochenmiete von 1 sh.",3.1284381469350118
771,4d. to 2s.,4 d. zu 2 sh.,3.2155997225089075
772,"In sixteen of the houses visited, only one man that earned 10s. a week.","In 16 untersuchten Häusern nur ein einziger Mann, der 10 sh. wöchentlich verdiente.",3.3341053082216625
773,"The quantity of air for each person under the circumstances just described corresponds to that which he would have if he were shut up in a box of 4 feet measuring each way, the whole night.","Das Luftreservoir, jeder Person in dem erwähnten Falle gegönnt, entspricht dem, das ihr zugut käme, wenn des Nachts eingeschlossen in eine Schachtel von 4 Fuß Kubik.",3.0098525284741346
774,"But then, the ancient dens afforded a certain amount of unintentional ventilation.",Allerdings bieten die alten Hütten eine Masse naturwüchsiger Ventilation.,3.786684730560768
775,(4) Cambridgeshire Gamlingay belongs to several landlords.,4. Cambridgeshire. Gamblingay gehört verschiednen Eigentümern.,5.052193976005912
776,It contains the wretched-est cots to be found anywhere.,"Es enthält die lumpigsten Cots, die man irgendwo finden kann.",2.107949536536535
777,Much straw-plaiting.,Viel Strohflechterei.,1.749088764190674
778,"‘A deadly lassitude, a hopeless surrendering up to filth’, reigns in Gamlingay.","Eine tödliche Mattheit, eine hoffnungslose Ergebung in Schmutz beherrscht Gamblingay.",4.191675999353019
779,"The neglect in its centre becomes mortification at its extremities, north and south, where the houses are rotting to pieces.","Die Vernachlässigung in seinem Zentrum wird zur Tortur an den Extremitäten, Nord und Süd, wo die Häuser stückweis abfaulen.",2.8963041406319374
780,The absentee landlords bleed this poor rookery too freely.,Die abwesenden Landlords lassen dem armen Nest flott zur Ader.,4.765788228855204
781,"The rents are very high; eight or nine persons packed in one sleeping apartment, in two cases six adults, each with one or two children in one small bedroom.","Die Mieten sind sehr hoch; 8 bis 9 Personen gepackt in ein einschläfriges Zimmer, in zwei Fällen 6 Erwachsne mit je 1 und 2 Kindern in einer kleinen Schlafstube.",3.009162540393618
782,"(5) Essex In this county, decline in the number of persons and of cottages goes hand in hand in many parishes.",5. Essex. In dieser Grafschaft gehn in vielen Pfarreien Abnahme von Personen und Cottages Hand in Hand.,2.6536830367780286
783,"In not less than twenty-two parishes, however, the destruction of houses has not prevented increase of population, or has not brought about that expulsion which, under the name ‘migration to towns’, generally occurs.","In nicht weniger als 22 Pfarreien hat jedoch die Häuserzerstörung den Bevölkerungsanwachs nicht aufgehalten oder nicht die Expulsion bewirkt, welche unter dem Namen ""Wanderung nach den Städten"" überall vorgeht.",2.605919759353211
784,"In Fingringhoe, a parish of 3, acres, there were 145 houses in 1851, and only 110 in 1861. But the people did not wish to go away, and managed even to increase under these circumstances.","In Fingringhoe, einer Pfarrei von 3.443 Acres, standen 1851 145 Häuser, 1861 nur noch 110, aber das Volk wollte nicht fort und brachte es fertig, selbst unter dieser Behandlung zuzunehmen.",2.794449467235636
785,"In 1851, 252 persons inhabited 61 houses, but in 1861, 262 persons were squeezed into 49 houses.","Zu Ramsden Crays bewohnten 1851 252 Personen 61 Häuser, aber 1861 waren 262 Personen in 49 Häuser gequetscht.",2.810019053280281
786,"In Basildon, in 1851, 157 persons lived on 1, acres, in 35 houses; at the end often years, 180 persons lived in 27 houses.","In Basildon lebten 1851 auf 1.827 Acres 157 Personen in 35 Häusern, am Ende des Dezenniums 180 Personen in 27 Häusern.",2.835835225633082
787,"In the parishes of Fingringhoe, South Farnbridge, Widford, Basildon and Ramsden Crags, in 1851, 1, persons were living on 8, acres in 316 houses; in 1861, on the same area, 1, persons in 249 houses.","In den Pfarreien von Fingringhoe, South Fambridge, Widford, Basildon und Ramsden Crays lebten 1851 auf 8.449 Acres 1.392 Personen in 316 Häusern, 1861 auf demselben Areal 1473 Personen in 249 Häusern.",2.752581835473955
788,(6)Herefordshire This little county has suffered more from the ‘eviction spirit’ than any other in England.,"6. Herefordshire. Diese kleine Grafschaft hat mehr gelitten vom ""Eviktionsgeist"" als irgendeine andre in England.",3.050814947938777
789,"At Madley, overcrowded cottages generally, with only two bedrooms, belonging for the most part to the farmers.","Zu Madley gehören die überstopften Cottages, meist mit 2 Schlafzimmern, großenteils den Pächtern.",3.315154438269201
790,"They can let them very easily for £ or £ a year, and pay a weekly wage of 9s.! (7) Huntingdonshire Hartford had, in 1851, 87 houses; shortly after this, nineteen cottages were destroyed in this small parish of 1, acres; population in 1831, 452; in 1851, 832; and in 1861, 341.","Sie vermieten selbe leicht zu 3 oder 4 Pfd.St. per Jahr und zahlen Wochenlohn von 9 sh.! 7. Huntingdonshire. Hartford hatte 1851 87 Häuser, kurz nachher 19 Cottages zerstört in dieser kleinen Pfarrei von 1.720 Acres; Einwohnerschaft 1831: 452 Personen, 1851: 382 und 1861: 341.",3.0485388066729318
791,"Fourteen cottages, each with one bedroom, were visited.",Vierzehn einschläfrige Cots untersucht.,4.610368512166501
792,"One of these rooms, in which eight people slept, was 12 feet 10 inches long, 12 feet 2 inches broad, 6 feet 9 inches high: the average, without making any deductions for projections into the apartment, comes to about 130 cubic feet per head.","In einem 1 verheiratetes Paar, 3 erwachsne Söhne, 1 erwachsnes Mädchen, 4 Kinder, zusammen 10; in einem andren 3 Erwachsne, 6 Kinder. Eine dieser Stuben, worin 8 Personen schliefen, war 12 Fuß 10 Zoll lang, 12 Fuß 2 Zoll breit, 6 Fuß 9 Zoll hoch; Durchschnittsmaß, ohne Abzug der Vorsprünge, ergab ungefähr 130 Kubikfuß per Kopf.",3.9674377263019123
793,"In the fourteen sleeping rooms, thirty-four adults and thirty-three children.",In den 14 Schlafstuben 34 Erwachsne und 33 Kinder.,2.9212378077682852
794,"These cottages are seldom provided with gardens, but many of the inmates are able to farm small allotments at 10s. or 12s. per rood ( 1/ acre).","Diese Cottages selten mit Gärtchen versehn, aber viele der Insassen konnten kleine Fetzen Land, 10 oder 12 sh. per rood (1/4 Acre) pachten.",3.063170194725977
795,"These allotments are at a distance from the houses, which are without privies.",Diese allotments sind entfernt von den abtrittslosen Häusern.,2.7364218338493997
796,"The family ‘must either go to the allotment to deposit their ordures’, or, as happens in this place, if the reader will permit the reference, ‘use a closet with a trough set like a drawer in a chest of drawers, and drawn out weekly and conveyed to the allotment to be emptied where its contents were wanted’.","Die Familie muß entweder zu ihrer Parzelle gehn, um ihre Exkremente abzulagern, oder, wie es mit Respekt zu melden hier geschieht, die Schublade eines Schranks damit füllen. Sobald sie voll, wird sie ausgezogen und dort entleert, wo ihr Inhalt nötig ist.",3.072117872333495
797,In Japan the cyclical movement of the conditions of human life proceeds more cleanly and more decently than this.,In Japan geht der Zirkellauf der Lebensbedingungen reinlicher vonstatten.,3.2933404216724758
798,(8) Lincolnshire Langtoft.,8. Lincolnshire.,4.097561836242676
799,"A man lives here, in Wright’s house, with his wife, her mother, and five children; the house has a front kitchen, scullery, bedroom over the front kitchen; front kitchen and bedroom, 12 feet 2 inches by 9 feet 5 inches; the whole ground floor, 21 feet 2 inches by 9 feet 5 inches.","Langtoft: Ein Mann wohnt hier in Wrights Haus mit seiner Frau, ihrer Mutter und 5 Kindern; das Haus hat Vorderküche, Spülkammer, Schlafzimmer über der Vorderküche; Vorderküche und Schlafstube 12 Fuß 2 Zoll lang, 9 Fuß 5 Zoll breit, die ganze Grundfläche 21 Fuß 3 Zoll lang, 9 Fuß 5 Zoll breit.",3.609147981732888
800,"The bedroom is a garret; the walls run together into the roof like a sugar-loaf, a dormer-window opening in front.","Die Schlafstube ist ein Dachraum. Die Wände laufen zuckerhutig an der Decke zusammen, und ein Klappfenster öffnet sich in der Front.",2.89388037893777
801,‘Why did he live here?,Warum wohnte er hier?,3.058257031911039
802,On account of the garden?,Garten?,6.150107703194236
803,No; it is very small.,Außerordentlich winzig.,4.235557998397208
804,Rent?,Miete?,5.259191036224365
805,"High, Is.","Hoch, 1 sh.",3.2744478622913356
806,3d. per week.,3 d. per Woche.,3.6906625029172013
807,Near his work?,Nah seiner Arbeit?,2.8571010605774583
808,"No; 6 miles away, so that he walks daily, to and fro, 12 miles.","Nein, 6 Meilen entfernt, so daß er täglich 12 Meilen hin und her vermarschiert.",3.054883881867004
809,"He lived there, because it was a tenantable cot,’ and because he wanted to have a cot for himself alone, anywhere, at any price, and in any conditions.","Er wohnte da, weil es ein vermietbares Cot war und weil er ein Cot für sich allein haben wollte, irgendwo, zu irgendeinem Preis, in irgendeinem Zustand.",2.3493577796317515
810,"The following are the statistics of twelve houses in Langtoft, with twelve bedrooms, thirty-eight adults, and thirty-six children.","Folgendes ist die Statistik von 12 Häusern in Langtoft mit 12 Schlafstuben, 38 Erwachsnen und 36 Kindern: 12 Häuser in Langtoft Häuser Schlaf- stuben Er- wachs- ne Kinder Per- sonen- zahl Häuser Schlaf- stuben Er- wachs- ne Kinder Per- sonen- zahl 1 1 3 5 8 1 1 3 3 6 1 1 4 3 7 1 1 3 2 5 1 1 4 4 8 1 1 2 0 2 1 1 5 4 9 1 1 2 3 5 1 1 2 2 4 1 1 3 3 6 1 1 5 3 8 1 1 2 4 6 9. Kent.",3.5923472821291864
811,"(9) Kent Kennington, very seriously over-populated in 1859, when diphtheria appeared, and the parish doctor instituted a medical inquiry into the conditions of the poor classes.","Kennington, höchst traurig überfüllt 1859, als die Diphtherie erschien und der Kirchspielsarzt eine amtliche Untersuchung über die Lage der ärmeren Volksklasse veranstaltete.",3.724872425066872
812,"He found that in this locality, where much labour is employed, various cots had been destroyed and no new ones built.","Er fand, daß in dieser Ortschaft, wo viel Arbeit nötig, verschiedne Cots zerstört und keine neuen erbaut worden waren.",2.7466852531992765
